section 1,Contact Details
section 46,Third Party System Interfacing
*%$introduction$%*,"Message Summary  Invoices Header and Line Information to Accounts Package Purchase Order Information - Pending Goods Inwards Confirmed Goods In - Actual quantities - Used to manage Variances Sales Order Information - Pick Instructions Confirmed Picked orDespatched Quantity Delivered/POD/Signed Quantity Unadvised Returns from consignees Advised Return/Uplift Instructions from consignees  Advised Return Instructions to Suppliers Place Stock on Hold Notice  Release Stock on Hold Notice Adjustment ification  Stock Balance
Product Master 
Customer Master Consignee Master "
,How many internal IT resources are currently employed?
,What number of integrations to in-house systems existing?
,What number of integrations to Customer Supplier systems existing?
,Do the internal IT resources current perform these integrations?
,What is the name of the System Name
,"What type of system is it accounts, ERP, Manufacturing etc."
,Is this system currently integrated 
,Is there documentation available on the integration?
,Type of interface required - File transfer or Database Level
,"Are Sample Files available? XML, EDIFACT, CSV etc."
,Is this an Internal Systems?
,Is this a supplier or Customer systems?
,Do Systems Reside side by side ? Yes/No
,"If Files Transfer is required -what is the preferred transport mechanism - FTP, AS2, Sonic etc."
,Are Master Files updated?
,Will Principal Systems Ltd Standard File Formats be used by the client?
*%$break&%*,
